date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
07:13:55	2459/2459	---M--	200	added ('OK')	image/jpeg	etag:%2299b-57ec2a1de2a00%22	https://preview.colorlib.com/theme/sparsh/img/blog/c1.jpg	/home/ishant/websites/triune-sparsh/preview.colorlib.com/theme/sparsh/img/blog/c1.jpg	(from https://preview.colorlib.com/theme/sparsh/blog-single.html)
07:13:56	2063/2063	---M--	200	added ('OK')	image/jpeg	etag:%2280f-57ec2a1ed6c40%22	https://preview.colorlib.com/theme/sparsh/img/blog/c2.jpg	/home/ishant/websites/triune-sparsh/preview.colorlib.com/theme/sparsh/img/blog/c2.jpg	(from https://preview.colorlib.com/theme/sparsh/blog-single.html)
07:13:57	2404/2404	---M--	200	added ('OK')	image/jpeg	etag:%22964-57ec2a20bf0c0%22	https://preview.colorlib.com/theme/sparsh/img/blog/c3.jpg	/home/ishant/websites/triune-sparsh/preview.colorlib.com/theme/sparsh/img/blog/c3.jpg	(from https://preview.colorlib.com/theme/sparsh/blog-single.html)
07:13:58	2777/2777	---M--	200	added ('OK')	image/jpeg	etag:%22ad9-57ec2a239b780%22	https://preview.colorlib.com/theme/sparsh/img/blog/c4.jpg	/home/ishant/websites/triune-sparsh/preview.colorlib.com/theme/sparsh/img/blog/c4.jpg	(from https://preview.colorlib.com/theme/sparsh/blog-single.html)
07:13:59	2072/2072	---M--	200	added ('OK')	image/jpeg	etag:%22818-57ec2a2677e40%22	https://preview.colorlib.com/theme/sparsh/img/blog/c5.jpg	/home/ishant/websites/triune-sparsh/preview.colorlib.com/theme/sparsh/img/blog/c5.jpg	(from https://preview.colorlib.com/theme/sparsh/blog-single.html)
07:14:05	401/401	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Thu,%2029%20Oct%202020%2001:44:00%20GMT	https://preview.colorlib.com/theme/sparsh/img/logo.png	/home/ishant/websites/triune-sparsh/preview.colorlib.com/theme/sparsh/img/logo.png	(from https://preview.colorlib.com/theme/sparsh/)
07:14:06	401/401	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Thu,%2029%20Oct%202020%2001:44:01%20GMT	https://preview.colorlib.com/theme/sparsh/img/hero-2.png	/home/ishant/websites/triune-sparsh/preview.colorlib.com/theme/sparsh/img/hero-2.png	(from https://preview.colorlib.com/theme/sparsh/)
07:14:06	401/401	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Thu,%2029%20Oct%202020%2001:44:01%20GMT	https://preview.colorlib.com/theme/sparsh/img/hero-1.png	/home/ishant/websites/triune-sparsh/preview.colorlib.com/theme/sparsh/img/hero-1.png	(from https://preview.colorlib.com/theme/sparsh/)
07:14:06	401/401	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Thu,%2029%20Oct%202020%2001:44:01%20GMT	https://preview.colorlib.com/theme/sparsh/img/hero-3.png	/home/ishant/websites/triune-sparsh/preview.colorlib.com/theme/sparsh/img/hero-3.png	(from https://preview.colorlib.com/theme/sparsh/)
07:14:07	78748/78748	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%221339c-57ec2b2331280%22	https://preview.colorlib.com/theme/sparsh/vendor/themify-icons/fonts/themify.eot?-fvbane	/home/ishant/websites/triune-sparsh/preview.colorlib.com/theme/sparsh/vendor/themify-icons/fonts/themify9f24.eot	(from https://preview.colorlib.com/theme/sparsh/vendor/themify-icons/themify-icons.css)
07:14:08	401/401	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Thu,%2029%20Oct%202020%2001:44:07%20GMT	https://preview.colorlib.com/theme/sparsh/img/about.png	/home/ishant/websites/triune-sparsh/preview.colorlib.com/theme/sparsh/img/about.png	(from https://preview.colorlib.com/theme/sparsh/)
